Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,reaction time,stimulus,button pressed
4,1562799582489,10/07/2019 22:59:42,1562799582457,1,10/07/2019 23:59:42,8835,5,task-jgum,,2797786,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1254.0050000025076,/task/29849/3/asset/Goat.mp3,0
1,1562799655910,10/07/2019 23:00:55,1562799654666,2,11/07/2019 01:00:54,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8495.049999999992,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562799658628,10/07/2019 23:00:58,1562799657435,2,11/07/2019 01:00:57,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2763.155000000097,/task/29849/3/asset/Dog.mp3,1
3,1562799660315,10/07/2019 23:01:00,1562799659132,2,11/07/2019 01:00:59,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1692.7849999997306,/task/29849/3/asset/Owl.mp3,0
4,1562799662610,10/07/2019 23:01:02,1562799661450,2,11/07/2019 01:01:01,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2315.385000000333,/task/29849/3/asset/Goat.mp3,0
1,1562799678432,10/07/2019 23:01:18,1562799679825,-5,10/07/2019 18:01:19,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5660.570000298321,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562799681002,10/07/2019 23:01:21,1562799682470,-5,10/07/2019 18:01:22,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2639.1000002622604,/task/29849/3/asset/Dog.mp3,1
3,1562799683158,10/07/2019 23:01:23,1562799684601,-5,10/07/2019 18:01:24,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2127.9500001110137,/task/29849/3/asset/Owl.mp3,0
4,1562799684923,10/07/2019 23:01:24,1562799686368,-5,10/07/2019 18:01:26,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1762.889999896288,/task/29849/3/asset/Goat.mp3,0
1,1562800028232,10/07/2019 23:07:08,1562800028932,-4,10/07/2019 19:07:08,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,56507.56999999794,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562800037772,10/07/2019 23:07:17,1562800038516,-4,10/07/2019 19:07:18,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,9580.95499999763,/task/29849/3/asset/Dog.mp3,1
3,1562800044916,10/07/2019 23:07:24,1562800045676,-4,10/07/2019 19:07:25,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,7157.599999998638,/task/29849/3/asset/Owl.mp3,0
4,1562800047486,10/07/2019 23:07:27,1562800048212,-4,10/07/2019 19:07:28,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2533.4599999987404,/task/29849/3/asset/Goat.mp3,0
1,1562799989874,10/07/2019 23:06:29,1562799989865,1,11/07/2019 00:06:29,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2422.35499999515,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562799995425,10/07/2019 23:06:35,1562799995447,1,11/07/2019 00:06:35,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5578.589999997348,/task/29849/3/asset/Dog.mp3,1
3,1562799997186,10/07/2019 23:06:37,1562799997238,1,11/07/2019 00:06:37,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1787.915000000794,/task/29849/3/asset/Owl.mp3,0
4,1562799999852,10/07/2019 23:06:39,1562799999877,1,11/07/2019 00:06:39,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2637.105000001611,/task/29849/3/asset/Goat.mp3,0
1,1562800706195,10/07/2019 23:18:26,1562800705980,3,11/07/2019 02:18:25,8835,5,task-jgum,,2797880,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3613.595000002533,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562800712088,10/07/2019 23:18:32,1562800711912,3,11/07/2019 02:18:31,8835,5,task-jgum,,2797880,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5909.725000004983,/task/29849/3/asset/Dog.mp3,1
3,1562800714577,10/07/2019 23:18:34,1562800714416,3,11/07/2019 02:18:34,8835,5,task-jgum,,2797880,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2501.4899999951012,/task/29849/3/asset/Owl.mp3,0
4,1562800717327,10/07/2019 23:18:37,1562800717160,3,11/07/2019 02:18:37,8835,5,task-jgum,,2797880,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2741.035000013653,/task/29849/3/asset/Goat.mp3,0
1,1562800757319,10/07/2019 23:19:17,1562800757203,-4,10/07/2019 19:19:17,8835,5,task-jgum,,2797884,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5468.380000034813,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562800764406,10/07/2019 23:19:24,1562800764337,-4,10/07/2019 19:19:24,8835,5,task-jgum,,2797884,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,7119.605000014417,/task/29849/3/asset/Dog.mp3,1
3,1562800769364,10/07/2019 23:19:29,1562800769306,-4,10/07/2019 19:19:29,8835,5,task-jgum,,2797884,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,4967.000000004191,/task/29849/3/asset/Owl.mp3,0
4,1562800773274,10/07/2019 23:19:33,1562800773210,-4,10/07/2019 19:19:33,8835,5,task-jgum,,2797884,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3900.6300000473857,/task/29849/3/asset/Goat.mp3,0
1,1562800800525,10/07/2019 23:20:00,1562800800407,3,11/07/2019 02:20:00,8835,5,task-jgum,,2797891,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,6936.32499999876,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562800804135,10/07/2019 23:20:04,1562800804053,3,11/07/2019 02:20:04,8835,5,task-jgum,,2797891,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3635.8599999985017,/task/29849/3/asset/Dog.mp3,1
3,1562800805807,10/07/2019 23:20:05,1562800805712,3,11/07/2019 02:20:05,8835,5,task-jgum,,2797891,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1655.8400000030815,/task/29849/3/asset/Owl.mp3,0
4,1562800807401,10/07/2019 23:20:07,1562800807318,3,11/07/2019 02:20:07,8835,5,task-jgum,,2797891,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1603.964999998425,/task/29849/3/asset/Goat.mp3,0
1,1562801613298,10/07/2019 23:33:33,1562801612786,-5,10/07/2019 18:33:32,8835,5,task-jgum,,2797946,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,10945.584999979474,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562801616128,10/07/2019 23:33:36,1562801615659,-5,10/07/2019 18:33:35,8835,5,task-jgum,,2797946,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2860.285000060685,/task/29849/3/asset/Dog.mp3,1
3,1562801618065,10/07/2019 23:33:38,1562801617489,-5,10/07/2019 18:33:37,8835,5,task-jgum,,2797946,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1826.0200000368059,/task/29849/3/asset/Owl.mp3,0
4,1562801619096,10/07/2019 23:33:39,1562801618664,-5,10/07/2019 18:33:38,8835,5,task-jgum,,2797946,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1172.4850001046434,/task/29849/3/asset/Goat.mp3,0
1,1562803377202,11/07/2019 00:02:57,1562803377246,-4,10/07/2019 20:02:57,8835,5,task-jgum,,2798000,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8878.965000010794,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562803382707,11/07/2019 00:03:02,1562803382822,-4,10/07/2019 20:03:02,8835,5,task-jgum,,2798000,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5538.984999991953,/task/29849/3/asset/Dog.mp3,1
3,1562803386991,11/07/2019 00:03:06,1562803387676,-4,10/07/2019 20:03:07,8835,5,task-jgum,,2798000,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,4843.434999987949,/task/29849/3/asset/Owl.mp3,0
4,1562803388462,11/07/2019 00:03:08,1562803389146,-4,10/07/2019 20:03:09,8835,5,task-jgum,,2798000,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1461.394999991171,/task/29849/3/asset/Goat.mp3,0
1,1562803638382,11/07/2019 00:07:18,1562803638046,-4,10/07/2019 20:07:18,8835,5,task-jgum,,2798009,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,11921.815000008792,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562803641790,11/07/2019 00:07:21,1562803641503,-4,10/07/2019 20:07:21,8835,5,task-jgum,,2798009,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3446.4849999640137,/task/29849/3/asset/Dog.mp3,1
3,1562803645291,11/07/2019 00:07:25,1562803644909,-4,10/07/2019 20:07:24,8835,5,task-jgum,,2798009,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3401.205000001937,/task/29849/3/asset/Owl.mp3,0
4,1562803647278,11/07/2019 00:07:27,1562803647001,-4,10/07/2019 20:07:27,8835,5,task-jgum,,2798009,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2082.02000008896,/task/29849/3/asset/Goat.mp3,0
END OF FILE
