environment,price,id
0.047903783,0.003702312,668220.00
-0.106305692,-0.087298856,668225.00
0.013129272,-0.091009178,668237.00
-0.020961973,0.024578081,668239.00
-0.008613673,0.017873433,668240.00
-0.033935388,-0.057052151,668244.00
0.032973684,-0.0067215,668245.00
-0.090747987,0.054710876,668246.00
-0.02475143,0.027406711,668249.00
-0.404357364,-0.194176557,668251.00
0.010158275,0.011289593,668253.00
-0.105973798,-0.181658143,668254.00
-0.141195557,-0.049364266,668263.00
0.14940376,-0.001084823,668267.00
0.031582801,-0.002476386,668270.00
-0.034915057,-0.080169739,668274.00
-0.038745991,0.058327385,668370.00
0.038926087,0.014578022,672044.00
0.034595074,0.037009635,672045.00
0.055963895,-0.005824135,672046.00
-0.100764236,0.00869391,672581.00
0.058653575,0.013463142,672582.00
0.026316662,0.0588441,672585.00
0.017062528,0.081788025,672586.00
0.036066923,-0.043120717,672587.00
0.01366929,0.052828472,672588.00
0.071695237,0.051220635,672590.00
0.066887567,0.040004397,672592.00
0.008078676,0.045893432,672594.00
0.050949802,0.043074071,672595.00
-0.366079722,0.031034404,672596.00
0.072396952,0.048972187,672611.00
0.040581507,0.071296858,672614.00
-0.121113174,0.063469058,672655.00
0.079808944,-0.027491093,674197.00
0.0580361,0.01219748,675515.00
-0.001634881,0.062333208,675579.00
-0.035284177,0.008609269,675592.00
0.338468757,0.06568252,675610.00
0.064894342,0.018466278,675625.00
0.028846497,0.049901746,675631.00
0.024357086,-0.051773885,675635.00
0.02106168,0.043066054,675636.00
0.010147682,0.016019084,675643.00
0.03017219,0.044335207,675662.00
0.047116224,0.067644213,675664.00
0.057899987,0.02320929,675665.00
-0.007335355,0.049209463,675669.00
0.067678514,-0.019209535,675670.00
0.040920064,0.039144267,675690.00
-0.054775109,-0.03196021,675732.00
0.071454429,0.039656579,676774.00
-0.020235656,0.03380121,680108.00
0.04091079,0.050504027,680109.00
0.076990378,-0.13835561,680110.00
-0.119008376,-0.006923398,680112.00
0.038731524,-0.017018064,680113.00
0.03351642,0.041263549,680115.00
0.087549754,-0.078649826,680118.00
0.028488653,-0.046178331,680125.00
0.118869258,0.010487503,680126.00
-0.061312559,0.027273736,680127.00
0.105612884,0.003485519,680129.00
0.088591,0.042873827,680136.00
-0.049458101,-0.156781635,680155.00
-0.005380922,0.043600361,680156.00
0.077578004,0.013854402,680167.00
-0.416038415,-0.17511751,680168.00
0.040874472,0.066359151,680171.00
-0.006485489,0.057927135,680257.00
0.005772648,0.028716217,681086.00
0.043612743,-0.257292434,683238.00
0.127259431,0.018892104,683239.00
-0.069651512,0.035836744,683240.00
-0.467044765,-0.120290061,683241.00
-0.037699197,-0.019017178,683243.00
-0.104688719,-0.061356798,683244.00
-0.047329478,-0.083644665,683245.00
0.039773641,0.055472043,683246.00
0.023246159,0.058062137,683250.00
0.069217899,-0.086242772,683251.00
0.034197302,0.044126703,683252.00
0.082703168,0.051223213,683257.00
-0.006978389,0.00210948,683259.00
-0.026054599,0.0583239,683264.00
0.153345881,-0.127709575,683265.00
0.037093,0.05089862,683284.00
-0.008363749,0.04840573,683302.00
0.04219938,0.03597146,683305.00
-1.29E-05,0.057035641,683308.00
0.008313224,-0.05985792,683358.00
-0.050490513,0.057955219,684252.00
-0.028581521,-0.029166078,684262.00